,Unnamed: 0,Sleep hour ,How fressh? ,Took melatonin ,How motibated(m)?,Take nap (min),Exposed to sunlight(h)?,Exposed to bluelight  ,Eat before sleep,Alchol before bed,lata work out(yesterday),stay up late(1am),Break fast ,Lunch ,Dinner ,Snack ,Morning excersise,Microburst ,Steps ,Sport,Meditation ,Protein ,CHO ,Fat,Saturated fat,Coffee ,Fiber ,Sugar,Study hours ,Reading ,Work hours ,Talk to Friend,Hung out ,Did something new,Achived something,Stressful event,Weather ,Temparature ,Help people ,Happiness,How tired?
0,9-11 2020 ,8.0,2,no,2.0,,,yes ,yes,no,no,yes,0.0,490.0,921.0,364.0,no,1.0,9324.0,2.0,10.0,68.6,145.9,18.5,,2.0,,52.8,5.0,0.0,0.0,yes,yes,yes,,no,sunny,20.0,no,5.0,3.0
1,9-12 2020,8.0,3,no,3.0,,,yes,yes,no,yes,yes,660.0,593.0,1301.0,660.0,no,0.0,10264.0,0.0,10.0,59.1,314.1,77.7,,2.0,,95.7,1.0,1.0,0.0,yes,yes,no,,no,sunny,22.0,no,4.0,3.0
2,9-13 2020,11.0,3,yes,3.0,,,yes,yes,no,no,no,0.0,1127.0,502.0,587.0,yes,0.0,7026.0,0.0,0.0,79.7,242.0,55.9,,1.0,,56.4,2.0,0.5,0.0,yes,yes,no,,no,sunny,17.0,yes,3.0,3.0
3,9-14 2020,10.0,2,yes,2.0,,,yes,yes,no,no,no,0.0,760.0,1349.0,368.0,yes,4.0,10129.0,0.0,20.0,71.6,170.2,44.8,,2.0,,71.6,6.0,1.0,0.0,no,no,no,,yes ,cloudy,22.0,no,3.0,1.0
4,9-152020,9.0,2,yes,1.0,,,yes ,yes ,no,yes ,yes ,0.0,380.0,1416.0,0.0,no,1.0,2088.0,0.0,10.0,24.7,149.1,40.0,,2.0,,87.7,7.0,0.5,0.0,yes ,no,no,,no,sunny ,19.0,no,4.0,2.0
5,9-21 2020 ,8.0,2, yes ,3.0,,,yes ,yes ,no,no,no,0.0,1078.0,861.0,200.0,yes ,0.0,6543.0,0.0,10.0,101.2,270.3,70.6,,3.0,,103.0,7.0,0.0,0.0,yes,no,no,,no,sunny,20.0,no,3.0,2.0
6,9-22 2020 ,9.0,4,yes,4.0,,,yes ,yes ,no,yes ,no,0.0,1382.0,643.0,210.0,no,1.0,4807.0,0.0,10.0,86.0,340.0,57.0,,2.0,56.0,112.0,5.0,0.0,2.0,yes ,no,no,,no,sunny ,23.0,no,4.0,4.0
7,9-24 2020 ,6.0,3,yes,2.0,,,yes ,yes ,no,no,yes ,0.0,770.0,0.0,1183.0,no,1.0,5546.0,0.0,10.0,112.4,194.0,60.0,,2.0,35.0,80.0,5.0,0.0,2.0,yes ,no,no,,no,cloudy ,14.0,no,3.0,4.0
8,9-26 2020 ,6.0,2,yes ,1.0,,,yes ,yes ,no,no,yes ,195.0,500.0,1388.0,0.0,no,0.0,21140.0,3.0,0.0,88.0,217.0,70.0,,1.0,30.0,120.0,0.0,0.0,0.0,yes ,yes ,yes ,,no,sunny ,20.0,no,3.0,1.0
9,9-27 2020,9.5,2,yes,2.0,,,yes,yes,no,no,no,176.0,420.0,981.0,305.0,no,0.0,1839.0,0.0,10.0,114.0,265.0,42.0,,2.0,31.0,136.0,7.0,0.0,5.0,no,no,yes ,,no,sunny ,20.0,no,3.0,2.0
10,9-28 2020,9.0,4,yes ,4.0,,,yes,yse,no,no,no,0.0,1066.0,472.0,1400.0,no,0.0,2638.0,0.0,0.0,88.0,408.0,108.0,,2.0,30.0,161.0,9.0,0.0,0.0,no,no,no,,no,cloudy ,19.0,no,3.0,3.0
11,9-29 2020,9.5,3,yes ,2.0,,,yse ,yes,no,no,no,700.0,555.0,541.0,700.0,no,2.0,2500.0,0.0,0.0,74.0,277.0,123.0,,3.0,12.0,104.0,5.0,0.0,1.0,yes,no,yes ,,no ,sunny ,18.0,yes,4.0,2.0
12,9-30 2020,8.0,3,yes,2.0,,,yes,no,no,no,no,0.0,1289.0,0.0,47.0,no,0.0,3181.0,0.0,10.0,80.0,183.0,32.0,,3.0,26.0,68.0,6.0,0.0,6.0,no,no,yes,,no,cloudy ,18.0,no,4.0,2.0
13,10-1 2020,7.0,1,yes,2.0,,,yes,yes,no,no,yes,244.0,810.0,597.0,502.0,no,0.0,2748.0,0.0,0.0,93.0,255.0,84.0,,2.0,19.0,68.0,7.0,0.0,0.0,no,no,no,,no,sunny ,10.0,no,3.0,4.0
14,10-2 2020,8.0,2,yes,3.0,,,yes,yes,no,no,no,862.0,1000.0,922.0,0.0,yes,0.0,12898.0,0.0,0.0,45.0,235.0,76.0,,2.0,12.0,,5.0,0.0,0.0,yes,yes,yes,,no,sunny ,11.0,no,5.0,5.0
15,10-3 2020,8.0,2,yes,2.0,,,yes,no,no,no,no,0.0,499.0,615.0,1641.0,no,1.0,2444.0,0.0,0.0,103.0,335.0,102.0,,2.0,19.0,42.0,3.0,0.0,0.0,no,no,no,,no,sunny ,13.0,yes,3.0,3.0
16,10-4 2020,9.0,2,yes,3.0,,2.0,yes,yes,no,no,no,0.0,636.0,742.0,58.0,no,0.0,13455.0,0.0,0.0,105.0,178.0,33.0,,2.0,21.0,31.0,2.0,0.0,0.0,yes,yes,no,,no,sunny ,17.0,yes,5.0,3.0
17,10-5 2020,10.0,3,yes,2.0,,1.0,yes,yes,no,no,no,281.0,916.0,380.0,782.0,no,0.0,7253.0,0.0,0.0,143.0,197.0,65.0,,2.0,12.0,80.0,4.0,0.0,4.0,yes,yes,no,yes,no,sunny,16.0,no,5.0,4.0
18,10-6 2020,8.0,4,yes,5.0,,2.0,yes,yes,no,no,yes,0.0,556.0,454.0,983.0,no,3.0,3081.0,0.0,0.0,98.0,274.0,26.0,,1.0,26.0,107.0,8.0,0.0,0.0,yes,no,no,no,no,sunny,14.0,no,3.0,5.0
19,10-7 2020,9.0,3,yes,3.0,,0.0,yes,yes,no,no,no,380.0,741.0,686.0,70.0,no,0.0,3081.0,0.0,0.0,127.0,182.0,26.0,,2.0,21.0,45.0,5.0,0.0,5.0,no,no,no,no,no,sunny ,17.0,no,3.0,4.0
20,10-8 2020,8.0,3,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
21,10-9 2020,6.0,4,yes,4.0,,0.0,yes,yes,no,no,yes ,0.0,660.0,471.0,726.0,no,7.0,5220.0,0.0,10.0,89.0,299.0,34.0,,2.0,29.0,48.0,3.0,1.0,0.0,no,no,no,no,no,cloudy ,13.0,no,3.0,5.0
22,10-11 2020,6.0,5,yes,5.0,,0.0,yes,yes,no,no,yes ,0.0,1704.0,1008.0,0.0,yes,7.0,6000.0,0.0,20.0,141.0,211.0,145.0,,3.0,21.0,44.0,5.0,0.0,7.0,yes,no,no,yes,no,sunny ,15.0,yes,3.0,4.0
23,10-13 2020,5.0,5,yes,5.0,15.0,2.0,yes,yes,no,no,yes ,0.0,478.0,630.0,197.0,no,3.0,4264.0,0.0,20.0,64.0,198.0,29.0,,1.0,22.0,34.0,8.0,0.0,0.0,yes,no,no,no,yes,sunny ,14.0,no,3.0,2.0
24,10-14 2020,9.0,5,yes,5.0,30.0,0.0,yes,yes ,no,no,yes ,0.0,348.0,995.0,302.0,no,2.0,5000.0,0.0,20.0,124.0,175.0,49.0,,2.0,20.0,35.0,5.0,0.0,6.0,no,no,no,no,no,sunny ,8.0,yes,3.0,3.0
25,10-15 2020,6.5,2,yes ,1.0,30.0,0.0,yes,no,no,no,yse,0.0,645.0,1008.0,58.0,no,4.0,5000.0,0.0,0.0,134.0,186.0,45.0,,3.0,186.0,15.5,9.0,0.5,0.0,yes ,no,yse,no,no,sunny ,4.0,no,5.0,5.0
26,10-16 2020,8.0,3,yes,5.0,0.0,2.0,yes ,yes,no,no,yes ,0.0,1746.0,2446.0,0.0,no,0.0,10000.0,0.0,0.0,138.0,549.0,163.0,,0.0,15.0,191.0,3.0,0.0,0.0,yes,yes,no,no,no,sunny ,4.0,yes ,5.0,1.0
27,10-17 2020,7.0,1,no,3.0,0.0,3.0,yes,yes,no,no,yes ,0.0,1377.0,281.0,0.0,no,4.0,5120.0,0.0,10.0,130.0,201.0,37.0,,3.0,36.0,59.0,8.0,0.0,0.0,yes,yes ,no,no,no,sunny ,0.0,no,3.0,5.0
28,10-19 2020,9.0,1,yes,1.0,20.0,0.0,yes,no,no,no,yes ,0.0,703.0,900.0,0.0,no,15.0,5900.0,0.0,40.0,73.0,267.0,26.0,,2.0,36.0,38.0,5.0,0.0,6.0,no,no,no,no,yes,sunny ,0.0,no,1.0,5.0
29,10-20 2020,7.0,3,no,3.0,0.0,0.0,yes,yes,no,no,yes ,0.0,1400.0,437.0,700.0,no,4.0,4400.0,0.0,0.0,46.0,387.0,96.0,45.0,2.0,17.0,161.0,5.0,0.0,0.0,yes,no,no,no,no,cloudy ,3.0,yes,3.0,2.0
30,10-21 2020,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,5.0,3.0
31,10-25 2020,,2,,,0.0,0.0,yes,yes,no,no,no,273.0,795.0,1054.0,0.0,0,4.0,4555.0,0.0,0.0,96.0,327.0,46.0,20.0,2.0,52.0,89.0,2.0,0.0,0.0,yes,no,no,no,no,sunny ,0.0,no,4.0,2.0
32,10-26 2020,10.0,2,yes,2.0,10.0,0.5,yes,yes,yes,no,no,238.0,176.0,560.0,372.0,yes,6.0,8836.0,0.0,15.0,65.0,323.0,20.0,6.0,2.0,35.0,97.0,8.0,1.0,3.0,yes,no,yes,yes,no,sunny ,0.0,no,4.0,4.0
33,10-2 2020,5.0,1,yes,1.0,0.0,0.0,yes,yes,no,no,no,245.0,600.0,662.0,705.0,no,1.0,3388.0,20.0,15.0,82.0,317.0,71.0,37.0,1.0,20.0,90.0,6.0,0.0,0.0,no,no,no,no,no,cloudy,0.0,no,3.0,5.0
34,10-2 2020,9.0,3,yes,3.0,0.0,0.5,yes,yes,no,no,no,405.0,658.0,370.0,600.0,no,0.0,6642.0,0.0,30.0,77.0,320.0,50.0,25.0,2.0,33.0,55.0,4.0,0.0,3.0,no,no,yes,yes,no,sunny ,0.0,yes,5.0,3.0
35,11-9 2020,9.0,2,yes,3.0,10.0,0.5,yes,yes,no,no,no,137.0,527.0,697.0,281.0,no,0.0,4090.0,20.0,20.0,108.0,204.0,47.0,17.0,3.0,22.0,100.0,4.0,0.0,3.0,no,no,no,yes,no,cloudy,-3.0,no,5.0,3.0
36,11-15 2020,9.0,3,yes ,4.0,0.0,0.0,yes,no,no,no,no,487.0,508.0,1272.0,256.0,no,2.0,3400.0,40.0,10.0,40.0,242.0,65.0,23.0,1.0,10.0,102.0,8.0,0.0,0.0,no,no,no,no,no,cloudy,-4.0,yes,3.0,4.0
37,11-16 2020,8.0,3,yes,4.0,10.0,2.0,yes,no,no,no,no,853.0,460.0,500.0,840.0,no,0.0,2834.0,20.0,20.0,55.0,234.0,50.0,14.0,3.0,7.0,95.0,5.0,0.0,4.0,no,no,no,no,no,sunny ,-10.0,yes,4.0,4.0
38,12-10,8.0,4,yes ,3.0,15.0,1.0,yes ,no,no,no,no,535.0,221.0,1497.0,204.0,no,0.0,10000.0,160.0,60.0,103.0,173.0,100.0,55.0,7.0,7.0,58.0,6.0,60.0,0.0,no,no,no,no,no,cloudy,0.0,no,4.0,4.0
39,12-13,10.0,4,yes ,5.0,130.0,0.5,yes ,no,no,no,no,379.0,465.0,673.0,0.0,no,0.0,5000.0,20.0,20.0,15.0,97.0,3.0,0.4,3.0,6.0,14.0,6.0,30.0,0.0,yes,no,no,no,no,cloudy,-7.0,no,,
40,12/14/2020,11.0,4,yes,4.0,15.0,1.0,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2021-02-14 23:24:17.062780,7.0,4,yes,3.0,10.0,3.0,yes,no,no,no,no,384.0,450.0,997.0,200.0,no,0.0,2000.0,0.0,10.0,93.0,179.0,75.3,25.0,2.0,16.0,37.0,10.0,0.0,0.0,no,no,no,no,no,sunny,-40.0,no,4.0,4.0
